full_name,H,diameter,albedo,epoch,e,a,q,i,ad,moid,condition_code,rms
     C/1874 X1 (Borrelly),,,,2405815.9428,1.0,,0.508226,99.2205,,,,
     C/1877 C1 (Borrelly),,,,2406639.1786,1.0,,0.807441,152.8948,,,,
     C/1877 G1 (Winnecke),,,,2406750.5,1.001265749129333,-750.7082612012689,0.9502083279986584,121.1372164015604,,0.235424,,1.0589
     C/1877 G2 (Swift),,,,2406739.5,1.008610334967269,-117.3341231114027,1.010286103079961,77.15596870193163,,0.332809,,0.80809
     C/1877 R1 (Coggia),,,,2406874.2182,1.0,,1.575904,102.2274,,,,
     C/1877 T1 (Tempel),,,,2406902.5,0.9919370379326136,133.0633055138368,1.072884384919119,115.665829340426,265.0537266427546,0.530957,,0.92295
     C/1878 N1 (Swift),,,,2407186.6907,1.0,,1.391967,78.1761,,,,
     C/1879 M1 (Swift),,,,2407545.5,1.0,,0.8963644122870428,107.0446361700477,,0.0938926,,1.191
     C/1879 Q1 (Palisa),,,,2407617.5,1.0,,0.9895343081316492,77.12428429305984,,0.302072,,1.173
     C/1879 Q2 (Hartwig),,,,2407601.5,1.0,,0.9914800000000004,107.7629,,0.546778,,9.6316
     C/1880 C1 (Great southern comet),,,,2407759.5,1.000010309186499,-520.9070105212681,0.0053701275200552,144.7588460199094,,0.554057,,0.55531
     C/1880 G1 (Schaeberle),,,,2407855.5,1.000827189464856,-2193.468835051659,1.814414311844558,123.0564901084186,,0.934564,,15.369
     C/1880 S1 (Hartwig),,,,2407965.9351,1.0,,0.354634,141.9119,,,,
     C/1880 Y1 (Pechule),,,,2408089.5,1.0,,0.659736,60.70069999999998,,0.344549,,2.5438
     C/1881 J1 (Swift),,,,2408221.4409,1.0,,0.59109,77.9336,,,,
     C/1881 K1 (Great comet),,,,2408306.5,0.9958963114667516,178.9974427758503,0.7345497534000603,63.42515903051775,357.2603357983005,0.279272,,0.73324
     C/1881 N1 (Schaeberle),,,,2408316.5,1.0,,0.633542,140.2281,,,,
