rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,st_spectype,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
413,EPIC 201841433 b,EPIC 201841433,b,Transit,2019,4.16888,,1.41,0.126,,,,,0.628,,175.206752,6.1348146,436.488,2.26274
414,EPIC 205950854 c,K2-168,c,Transit,2019,8.050722,,1.31,0.11687037,,,,5502.7,0.83,0.877,333.1100738,-16.3418863,243.935,4.07235
415,EPIC 205950854 c,K2-168,c,Transit,2019,8.0468,,1.18,0.10527255,,,,,,0.907,333.1100738,-16.3418863,243.935,4.07235
416,EPIC 205950854 c,K2-168,c,Transit,2019,8.0516,,1.62,0.145,,,,,0.904,,333.1100738,-16.3418863,243.935,4.07235
417,EPIC 206024342 b,EPIC 206024342,b,Transit,2019,4.50756,,1.7,0.15166384,,,,,,0.928,331.2771441,-14.1218019,369.888,2.67518
418,EPIC 206024342 b,EPIC 206024342,b,Transit,2019,4.50717,,1.44,0.128,,,,,0.823,,331.2771441,-14.1218019,369.888,2.67518
419,EPIC 206024342 c,EPIC 206024342,c,Transit,2021,0.911618,,1.16,0.103,,,,,0.823,,331.2771441,-14.1218019,369.888,2.67518
420,EPIC 206024342 c,EPIC 206024342,c,Transit,2021,0.911724,,1.4,0.12489985,,,,5724.0,1.1,,331.2771441,-14.1218019,369.888,2.67518
421,EPIC 206024342 c,EPIC 206024342,c,Transit,2021,0.9116567,,1.35,0.12043893,,,,5648.0,0.94,,331.2771441,-14.1218019,369.888,2.67518
422,EPIC 206024342 d,EPIC 206024342,d,Transit,2021,14.637,,4.0,0.36,,,,6438.0,1.5,,331.2771441,-14.1218019,369.888,2.67518
423,EPIC 206024342 d,EPIC 206024342,d,Transit,2021,14.6435,,2.52,0.225,,,,,0.823,,331.2771441,-14.1218019,369.888,2.67518
424,EPIC 206024342 d,EPIC 206024342,d,Transit,2021,14.647531,,2.6,0.23195686,,,,5724.0,1.1,,331.2771441,-14.1218019,369.888,2.67518
425,EPIC 206024342 d,EPIC 206024342,d,Transit,2021,14.641541,,2.94,0.26228923,,,,5648.0,0.94,,331.2771441,-14.1218019,369.888,2.67518
426,EPIC 206032309 b,EPIC 206032309,b,Transit,2019,2.87814,,1.01,0.09010616,,,,,,0.221,341.2404563,-13.9011223,161.365,6.1694
427,EPIC 206042996 b,EPIC 206042996,b,Transit,2019,5.2986,,1.7,0.1516641,,,,4114.0,0.5,,337.5136198,-13.6101475,451.769,2.18689
428,EPIC 206042996 b,EPIC 206042996,b,Transit,2019,5.29853,,3.32,0.296,,,,,0.668,,337.5136198,-13.6101475,451.769,2.18689
429,EPIC 206042996 b,EPIC 206042996,b,Transit,2019,5.29711,,1.62,0.14452672,,,,,,0.565,337.5136198,-13.6101475,451.769,2.18689
430,EPIC 206042996 c,EPIC 206042996,c,Transit,2021,0.354884,,1.2,0.10705701,,,,4114.0,0.5,,337.5136198,-13.6101475,451.769,2.18689
431,EPIC 206042996 c,EPIC 206042996,c,Transit,2021,0.35490972,,1.45,0.12936034,,,,3893.0,0.57,,337.5136198,-13.6101475,451.769,2.18689
432,EPIC 206215704 b,EPIC 206215704,b,Transit,2019,2.25558,,2.0,0.2,,,,,0.367,,335.0949721,-9.5097112,109.888,9.0727
433,EPIC 206215704 b,EPIC 206215704,b,Transit,2019,2.255436,,1.0,0.08921418,,,,3297.0,0.25,,335.0949721,-9.5097112,109.888,9.0727
434,EPIC 206215704 b,EPIC 206215704,b,Transit,2019,2.25372,,0.9,0.08029262,,,,,,0.407,335.0949721,-9.5097112,109.888,9.0727
435,EPIC 206317286 b,EPIC 206317286,b,Transit,2019,1.58316,,1.22,0.109,,,,,0.669,,337.6178427,-7.972456,314.35,3.15254
436,EPIC 206317286 b,EPIC 206317286,b,Transit,2019,1.58252,,0.96,0.08564546,,,,,,0.711,337.6178427,-7.972456,314.35,3.15254
437,EPIC 206317286 c,EPIC 206317286,c,Transit,2022,17.515472,,2.094,0.18681449,,,,4752.0,0.758,0.832,337.6178427,-7.972456,314.35,3.15254
438,EPIC 206317286 c,EPIC 206317286,c,Transit,2022,17.501662,,2.63,0.23463288,,,,4749.0,0.73,,337.6178427,-7.972456,314.35,3.15254
439,EPIC 206317286 c,EPIC 206317286,c,Transit,2022,17.5125,,2.15,0.192,,,,,0.669,,337.6178427,-7.972456,314.35,3.15254
440,EPIC 211822797 b,EPIC 211822797,b,Transit,2016,21.1595,,,,,,,3811.0,0.597044,0.585671,130.4102091,17.6399744,186.197,5.34209
441,EPIC 211822797 b,EPIC 211822797,b,Transit,2016,21.1701963,0.1195,1.92,0.17129122,,,,4057.0,0.58,0.62,130.4102091,17.6399744,186.197,5.34209
442,EPIC 211822797 b,EPIC 211822797,b,Transit,2016,21.1686,,2.18,0.194,,,,,0.642,,130.4102091,17.6399744,186.197,5.34209
443,EPIC 211822797 b,EPIC 211822797,b,Transit,2016,21.169861,0.131,1.98,0.17664377,,,,4148.21,0.571699,0.663459,130.4102091,17.6399744,186.197,5.34209
444,EPIC 211822797 b,EPIC 211822797,b,Transit,2016,21.17623917,,,,,,,3811.0,0.597044,0.585671,130.4102091,17.6399744,186.197,5.34209
445,EPIC 211822797 b,EPIC 211822797,b,Transit,2016,21.169619,,2.2,0.19627085,,,,3880.0,0.59,0.61,130.4102091,17.6399744,186.197,5.34209
446,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.491,,,,,,,6128.0,1.3636,1.158,136.5741931,19.4020565,181.69,5.47529
447,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.50735025,,,,,,,6128.0,1.3636,1.158,136.5741931,19.4020565,181.69,5.47529
448,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.49213,0.148,6.12,0.54598983,27.0,0.08495107,G0,6025.0,1.38,1.18,136.5741931,19.4020565,181.69,5.47529
449,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.492132,,6.0,0.54,,,,,1.48,,136.5741931,19.4020565,181.69,5.47529
450,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.4921473,,5.50689,0.49129266,,,,6128.0,1.36,,136.5741931,19.4020565,181.69,5.47529
451,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.49221,0.1493,5.76,0.51387278,,,,6069.0,1.39,1.17,136.5741931,19.4020565,181.69,5.47529
452,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.491965,,6.8,0.61,,,,6320.0,1.485,,136.5741931,19.4020565,181.69,5.47529
453,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.491795,,5.84689735,0.52,,,,6046.0,1.410092,,136.5741931,19.4020565,181.69,5.47529
454,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.491,,5.5,0.49067798,11.0,0.03460987,,6019.0,1.387,1.17,136.5741931,19.4020565,181.69,5.47529
455,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.4921498,,,,,,G0,6025.0,1.38,1.18,136.5741931,19.4020565,181.69,5.47529
456,EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.49183,,5.96,0.532,,,,,1.403,,136.5741931,19.4020565,181.69,5.47529
457,EPIC 212297394 b,EPIC 212297394,b,Transit,2019,2.28896,,1.83,0.163,,,,,0.749,,207.2061241,-17.6098985,418.395,2.36212
458,EPIC 212297394 b,EPIC 212297394,b,Transit,2019,2.289363,,1.48,0.13203698,,,,5171.0,0.8,0.83,207.2061241,-17.6098985,418.395,2.36212
459,EPIC 212297394 b,EPIC 212297394,b,Transit,2019,2.28943,,1.323,0.11803015,,,,,,0.829,207.2061241,-17.6098985,418.395,2.36212
460,EPIC 212297394 c,EPIC 212297394,c,Transit,2021,5.213965,,2.27,0.20251618,,,,5171.0,0.8,0.83,207.2061241,-17.6098985,418.395,2.36212
461,EPIC 212297394 c,EPIC 212297394,c,Transit,2021,5.21378,,2.29,0.204,,,,,0.749,,207.2061241,-17.6098985,418.395,2.36212
462,EPIC 212297394 c,EPIC 212297394,c,Transit,2021,5.213,,,,,,,5008.0,0.776343,0.831,207.2061241,-17.6098985,418.395,2.36212
463,EPIC 212424622 b,EPIC 212424622,b,Transit,2019,18.0971,,2.21,0.197,,,,,1.2247,,202.3313765,-14.3594358,611.804,1.606
464,EPIC 212424622 b,EPIC 212424622,b,Transit,2019,18.0983,,2.17,0.19359443,,,,,,1.106,202.3313765,-14.3594358,611.804,1.606
465,EPIC 212499991 b,EPIC 212499991,b,Transit,2019,34.885,,1.6,0.14274244,,,,,,0.912,202.488752,-12.7347749,283.29,3.50124
466,EPIC 212587672 b,EPIC 212587672,b,Transit,2019,15.28078,,1.26,0.11240986,,,,6004.0,0.98,0.99,205.4445125,-10.8625468,320.07,3.09713
467,EPIC 212587672 b,EPIC 212587672,b,Transit,2019,15.2841,,1.12,0.09991971,,,,,,0.95,205.4445125,-10.8625468,320.07,3.09713
468,EPIC 212587672 b,EPIC 212587672,b,Transit,2019,15.2841,,1.39,0.124,,,,,0.9757,,205.4445125,-10.8625468,320.07,3.09713
469,EPIC 212587672 c,EPIC 212587672,c,Transit,2021,23.24110566,,,,,,,6055.0,0.94987,1.13,205.4445125,-10.8625468,320.07,3.09713
470,EPIC 212587672 c,EPIC 212587672,c,Transit,2021,23.226001,,2.24459533,0.2,,,,5928.0,0.952744,,205.4445125,-10.8625468,320.07,3.09713
471,EPIC 212587672 c,EPIC 212587672,c,Transit,2021,23.226,,2.3,0.21,,,,,0.95,,205.4445125,-10.8625468,320.07,3.09713
472,EPIC 212587672 c,EPIC 212587672,c,Transit,2021,23.226,,,,,,,6055.0,0.94987,1.13,205.4445125,-10.8625468,320.07,3.09713
473,EPIC 212587672 c,EPIC 212587672,c,Transit,2021,23.228555,,2.32,0.20697689,,,,6004.0,0.98,0.99,205.4445125,-10.8625468,320.07,3.09713
474,EPIC 212587672 c,EPIC 212587672,c,Transit,2021,23.2259,,2.31,0.206,,,,,0.9757,,205.4445125,-10.8625468,320.07,3.09713
475,EPIC 212624936 b,EPIC 212624936,b,Transit,2021,0.578657,,1.2,0.10705701,,,,5765.0,0.93,,210.6376171,-10.0236852,561.929,1.75111
476,EPIC 212624936 c,EPIC 212624936,c,Transit,2021,11.81387,,2.67,0.238,,,,,0.948,,210.6376171,-10.0236852,561.929,1.75111
477,EPIC 212624936 c,EPIC 212624936,c,Transit,2021,11.811437,,2.3,0.20519261,,,,5765.0,0.93,,210.6376171,-10.0236852,561.929,1.75111
478,EPIC 212737443 b,EPIC 212737443,b,Transit,2019,13.60697954,,,,,,,4581.0,0.669035,0.724,204.2215065,-7.3180577,336.25,2.94582
479,EPIC 212737443 b,EPIC 212737443,b,Transit,2019,13.603,,,,,,,4581.0,0.669035,0.724,204.2215065,-7.3180577,336.25,2.94582
480,EPIC 212737443 b,EPIC 212737443,b,Transit,2019,13.603,0.098,2.586,0.23070747,,,K3,4684.0,0.673,0.69,204.2215065,-7.3180577,336.25,2.94582
481,EPIC 212737443 c,EPIC 212737443,c,Transit,2019,65.55,0.28,2.69,0.23998573,,,K3,4684.0,0.673,0.69,204.2215065,-7.3180577,336.25,2.94582
482,EPIC 220492298 b,EPIC 220492298,b,Transit,2021,0.762406,,0.99,0.08832204,,,,5620.0,0.89,,16.7615005,6.588798,624.512,1.57248
483,EPIC 220554210 c,K2-282,c,Transit,2019,0.70531,,1.48,0.13203676,,,,,,0.94,13.4321524,7.9952914,496.289,1.98627
484,EPIC 220554210 c,K2-282,c,Transit,2019,0.70531,,1.6,0.14274268,,,,5499.0,1.0,,13.4321524,7.9952914,496.289,1.98627
485,EPIC 220554210 c,K2-282,c,Transit,2019,0.705386,,1.73,0.154,,,,,1.013,,13.4321524,7.9952914,496.289,1.98627
486,EPIC 220674823 b,EPIC 220674823,b,Transit,2016,0.571336,0.01312,1.82,0.16236952,9.0,0.02831702,,5496.0,0.95,0.92,13.0800239,10.7947051,244.59,4.06029
